month,make,sales
0,ford,0
0,chevrolet,0
0,dodge,0
0,mercedes,0
0,bmw,0
0,audi,0
0,nissan,0
0,toyota,0
0,honda,0
1,ford,142577
1,chevrolet,136632
1,dodge,20478
1,mercedes,24445
1,bmw,22858
1,audi,17461
1,nissan,85273
1,toyota,146591
1,honda,83721
2,ford,162834
2,chevrolet,173575
2,dodge,20477
2,mercedes,31650
2,bmw,22905
2,audi,17461
2,nissan,85273
2,toyota,161625
2,honda,94775
3,ford,213270
3,chevrolet,153706
3,dodge,23036
3,mercedes,19170
3,bmw,25717
3,audi,19646
3,nissan,95935
3,toyota,208801
3,honda,130707
4,ford,197063
4,chevrolet,145729
4,dodge,21041
4,mercedes,12112
4,bmw,32604
4,audi,22315
4,nissan,94641
4,toyota,200491
4,honda,140023
5,ford,160520
5,chevrolet,140125
5,dodge,20232
5,mercedes,27901
5,bmw,31353
5,audi,21455
5,nissan,91001
5,toyota,202009
5,honda,158662
6,ford,114676
6,chevrolet,145729
6,dodge,21040
6,mercedes,29492
6,bmw,32604
6,audi,22314
6,nissan,94641
6,toyota,170609
6,honda,137238
7,ford,118917
7,chevrolet,96612
7,dodge,16557
7,mercedes,29675
7,bmw,25522
7,audi,13841
7,nissan,63548
7,toyota,184509
7,honda,120692
8,ford,123343
8,chevrolet,93033
8,dodge,15944
8,mercedes,26377
8,bmw,24576
8,audi,13328
8,nissan,61195
8,toyota,152073
8,honda,100364
9,ford,155384
9,chevrolet,96612
9,dodge,16557
9,mercedes,28576
9,bmw,25522
9,audi,13841
9,nissan,63548
9,toyota,122495
9,honda,86303
10,ford,174464
10,chevrolet,95712
10,dodge,13454
10,mercedes,32153
10,bmw,31011
10,audi,11060
10,nissan,61345
10,toyota,116400
10,honda,87028
11,ford,157417
11,chevrolet,95712
11,dodge,13455
11,mercedes,26411
11,bmw,31011
11,audi,11060
11,nissan,61345
11,toyota,125506
11,honda,74935
12,ford,172257
12,chevrolet,95712
12,dodge,13455
12,mercedes,36746
12,bmw,31011
12,audi,11060
12,nissan,61345
12,toyota,141990
12,honda,94028
