date,World,India,United Arab Emirates
12/02/2020,39063,3,4
13/02/2020,52147,2,4
14/02/2020,56985,2,4
15/02/2020,57017,2,4
16/02/2020,54451,1,4
02/03/2020,17129,2,12
03/03/2020,17857,2,18
04/03/2020,19696,25,18
05/03/2020,21963,27,20
06/03/2020,25266,28,20
07/03/2020,27629,31,32
08/03/2020,31175,36,32
09/03/2020,34805,40,32
10/03/2020,38856,53,61
11/03/2020,45606,59,61
12/03/2020,50370,70,72
13/03/2020,63165,79,66
14/03/2020,72392,99,64
15/03/2020,81438,110,77
16/03/2020,94280,114,77
17/03/2020,107808,137,71
18/03/2020,125153,128,86
19/03/2020,149633,164,111
20/03/2020,176816,213,111
21/03/2020,204772,296,108
22/03/2020,236029,357,108
23/03/2020,274856,456,153
24/03/2020,311215,480,174
25/03/2020,354821,595,259
26/03/2020,411773,654,248
27/03/2020,462669,805,320
28/03/2020,521224,885,383
29/03/2020,566464,911,472
30/03/2020,616931,1132,513
31/03/2020,677988,1255,566
01/04/2020,740332,1842,701
02/04/2020,796055,2349,884
03/04/2020,849092,2323,1124
04/04/2020,892944,2752,1352
05/04/2020,927838,3192,1646
06/04/2020,958831,4279,1878
07/04/2020,990464,4775,2111
08/04/2020,1022623,5259,2326
09/04/2020,1046193,5998,2657
10/04/2020,1066280,6711,2955
11/04/2020,1070607,7459,3268
12/04/2020,1132837,8181,3553
13/04/2020,1138832,9202,3910
14/04/2020,1145366,10090,4269
15/04/2020,1142005,10324,4551
16/04/2020,1153391,10887,4801
17/04/2020,1157233,11785,5038
18/04/2020,1157861,12640,4797
19/04/2020,1163798,14027,4982
20/04/2020,1165769,13761,5189
21/04/2020,1168535,14769,5396
22/04/2020,1167060,15454,5579
23/04/2020,1164837,16352,5766
24/04/2020,1173215,16932,5921
25/04/2020,1182141,17837,6077
26/04/2020,1133601,18685,6226
27/04/2020,1133211,18998,6318
28/04/2020,1125316,19837,6447
29/04/2020,1125754,20740,6564
30/04/2020,1115131,21433,6656
